150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
150.236.4.230, 2014-02-12 15:58:01, GET, /learnWord/static/images/favicon.ico, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 15:58:10, GET, /learnWord/default/post, HTTP/1.1, 303, 0.039000
150.236.4.230, 2014-02-12 15:58:10, GET, /learnWord/default/user/login, HTTP/1.1, 302, 0.035000
150.236.4.230, 2014-02-12 15:58:12, GET, /learnWord/default/user/login, HTTP/1.1, 500, 1.044000
150.236.4.230, 2014-02-12 15:58:13, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
150.236.4.230, 2014-02-12 15:58:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
150.236.4.230, 2014-02-12 15:58:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
150.236.4.230, 2014-02-12 15:58:16, GET, /learnWord, HTTP/1.1, 200, 0.029000
150.236.4.230, 2014-02-12 15:59:43, GET, /learnWord, HTTP/1.1, 200, 0.028000
150.236.4.230, 2014-02-12 16:02:31, GET, /learnWord, HTTP/1.1, 200, 0.029000
150.236.4.230, 2014-02-12 16:02:31, GET, /learnWord/static/css/calendar.css, HTTP/1.1, 304, 0.002000
150.236.4.230, 2014-02-12 16:02:31, GET, /learnWord/static/css/web2py.css, HTTP/1.1, 304, 0.000000
150.236.4.230, 2014-02-12 16:02:31, GET, /learnWord/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
150.236.4.230, 2014-02-12 16:02:31, GET, /learnWord/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304,150.236.4.230, 2014-02-12 16:02:31, GET, /learnWord/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002000
150.236.4.230, 2014-02-12 16:02:31, GET, /learnWord/static/js/ckeditor/ckeditor.js, HTTP/1.1, 304, 0.002000
150.236.4.230, 2014-02-12 16:02:31, GET, /learnWord/static/js/tinymce/tinymce.min.js, HTTP/1.1, 304, 0.001000
